?? [s],Load (kN),
0,0.024414063,244.140625
144.704786,0.015258789,152.587891
144.954786,0.036621094,366.210938
145.204786,0.039672852,396.728516
145.454786,0.048828125,488.28125
145.704786,0.024414063,244.140625
145.954786,0.100708008,1007.080078
146.204786,0.045776367,457.763672
146.454786,0.085449219,854.492188
146.704786,0.091552734,915.527344
146.954786,0.122070313,1220.703125
147.204786,0.115966797,1159.667969
147.454786,0.09765625,976.5625
147.704786,0.09765625,976.5625
147.954786,0.109863281,1098.632812
148.204786,0.106811523,1068.115234
148.454786,0.12512207,1251.220703
148.704786,0.109863281,1098.632812
148.954786,0.119018555,1190.185547
149.204786,0.149536133,1495.361328
149.454786,0.183105469,1831.054688
149.704786,0.283813477,2838.134766
149.954786,0.274658203,2746.582031
150.204786,0.344848633,3448.486328
150.454786,0.415039063,4150.390625
150.704786,0.46081543,4608.154297
150.954786,0.567626953,5676.269531
151.204786,0.659179688,6591.796875
151.454786,0.756835938,7568.359375
151.704786,0.842285156,8422.851562
151.954786,0.933837891,9338.378906
152.204786,1.052856445,10528.56445
152.454786,1.150512695,11505.12695
152.704786,1.278686523,12786.86523
152.954786,1.361083984,13610.83984
153.204786,1.504516602,15045.16602
153.454786,1.644897461,16448.97461
153.704786,1.7578125,17578.125
153.954786,1.873779297,18737.79297
154.204786,2.081298828,20812.98828
154.454786,2.157592773,21575.92773
154.704786,2.255249023,22552.49023
154.954786,2.426147461,24261.47461
155.204786,2.572631836,25726.31836
155.454786,2.694702148,26947.02148
155.704786,2.835083008,28350.83008
155.954786,2.975463867,29754.63867
156.204786,3.09753418,30975.3418
156.454786,3.259277344,32592.77344
156.704786,3.381347656,33813.47656
156.954786,3.521728516,35217.28516
157.204786,3.680419922,36804.19922
157.454786,3.823852539,38238.52539
157.704786,3.973388672,39733.88672
157.954786,4.162597656,41625.97656
158.204786,4.278564453,42785.64453
158.454786,4.446411133,44464.11133
158.704786,4.620361328,46203.61328
158.954786,4.751586914,47515.86914
159.204786,4.922485352,49224.85352
159.454786,5.078125,50781.25
159.704786,5.264282227,52642.82227
159.954786,5.386352539,53863.52539
160.204786,5.541992188,55419.92188
160.454786,5.709838867,57098.38867
160.704786,5.889892578,58898.92578
160.954786,6.066894531,60668.94531
161.204786,6.213378906,62133.78906
161.454786,6.369018555,63690.18555
161.704786,6.506347656,65063.47656
161.954786,6.686401367,66864.01367
162.204786,6.890869141,68908.69141
162.454786,7.03125,70312.5
162.704786,7.189941406,71899.41406
162.954786,7.373046875,73730.46875
163.204786,7.559204102,75592.04102
163.454786,7.696533203,76965.33203
163.704786,7.867431641,78674.31641
163.954786,8.013916016,80139.16016
164.204786,8.163452148,81634.52148
164.454786,8.3984375,83984.375
164.704786,8.557128906,85571.28906
164.954786,8.670043945,86700.43945
165.204786,8.856201172,88562.01172
165.454786,9.017944336,90179.44336
165.704786,9.176635742,91766.35742
165.954786,9.329223633,93292.23633
166.204786,9.478759766,94787.59766
166.454786,9.622192383,96221.92383
166.704786,9.808349609,98083.49609
166.954786,9.957885742,99578.85742
167.204786,10.14404297,101440.4297
167.454786,10.28747559,102874.7559
167.704786,10.45227051,104522.7051
167.954786,10.58959961,105895.9961
168.204786,10.78186035,107818.6035
168.454786,10.92224121,109222.4121
168.704786,11.06872559,110687.2559
168.954786,11.20910645,112091.0645
169.204786,11.40441895,114044.1895
169.454786,11.54174805,115417.4805
169.704786,11.66687012,116668.7012
169.954786,11.80419922,118041.9922
170.204786,11.98425293,119842.5293
170.454786,12.06054688,120605.4688
170.704786,12.26806641,122680.6641
170.954786,12.42675781,124267.5781
171.204786,12.53356934,125335.6934
171.454786,12.69836426,126983.6426
171.704786,12.81433105,128143.3105
171.954786,12.9699707,129699.707
172.204786,13.12255859,131225.5859
172.454786,13.21105957,132110.5957
172.704786,13.39416504,133941.6504
172.954786,13.48876953,134887.6953
173.204786,13.61694336,136169.4336
173.454786,13.73291016,137329.1016
173.704786,13.88244629,138824.4629
173.954786,13.97094727,139709.4727
174.204786,14.08996582,140899.6582
174.454786,14.22424316,142242.4316
174.704786,14.33105469,143310.5469
174.954786,14.43481445,144348.1445
175.204786,14.53552246,145355.2246
175.454786,14.65148926,146514.8926
175.704786,14.69421387,146942.1387
175.954786,14.84680176,148468.0176
176.204786,14.92004395,149200.4395
176.454786,15.02380371,150238.0371
176.704786,15.13366699,151336.6699
176.954786,15.22521973,152252.1973
177.204786,15.29846191,152984.6191
177.454786,15.38696289,153869.6289
177.704786,15.49377441,154937.7441
