name,coord-x,coord-y,coord-z
l01,-20.33,-9.3,3.21
l02,-19.22,-9.22,3.04
l03,-17.22,-9.29,2.76
l04,-15.6,-9.29,2.53
l05,-14.29,-9.29,2.34
l06,-12.72,-9.28,2.11
l07,-11.14,-9.32,1.89
l08,-9.21,-9.37,1.62
l09,-7.7,-9.38,1.41
l10,-6.11,-9.52,1.19
l11,-4.49,-9.3,0.94
l12,-2.39,-9.44,0.65
l13,-0.67,-9.41,0.41
l14,0.74,-9.37,0.2
l15,2.43,-9.35,-0.04
l16,3.76,-9.41,-0.23
l17,5.56,-9.46,-0.48
l18,7.02,-9.38,-0.7
l19,8.74,-9.53,-0.93
l20,10.3,-9.42,-1.16
l21,11.8,-9.42,-1.38
l22,13.35,-9.53,-1.59
l23,14.98,-9.41,-1.84
l24,16.72,-9.32,-2.1
l25,18.26,-9.5,-2.31
l26,19.65,-9.52,-2.51
l27,21.2,-9.53,-2.73
l28,-19.95,-8.49,3.08
l29,-18.92,-8.45,2.94
l30,-17.49,-8.44,2.73
l31,-15.68,-8.45,2.47
l32,-14.27,-8.49,2.27
l33,-12.52,-8.43,2.02
l34,-10.93,-8.36,1.78
l35,-9.31,-8.41,1.56
l36,-7.73,-8.37,1.33
l37,-6.03,-8.52,1.1
l38,-4.44,-8.47,0.87
l39,-2.35,-8.41,0.57
l40,-0.68,-8.31,0.32
l41,0.95,-8.22,0.08
l42,2.49,-8.3,-0.13
l43,4.29,-8.29,-0.39
l44,5.84,-8.45,-0.6
l45,7.83,-8.34,-0.89
l46,9.18,-8.5,-1.07
l47,10.3,-8.48,-1.23
l48,11.86,-8.48,-1.46
l49,13.52,-8.47,-1.69
l50,15.27,-8.47,-1.95
l51,16.76,-8.49,-2.16
l52,18.12,-8.49,-2.36
l53,19.35,-8.48,-2.54
l54,20.81,-8.48,-2.75
u01,-20.65,7.71,1.77
u02,-19.05,7.73,1.56
u03,-17.54,7.81,1.35
u04,-16.05,7.73,1.16
u05,-14.48,7.81,0.94
u06,-13.03,7.82,0.74
u07,-11.47,7.73,0.54
u08,-10.04,7.81,0.34
u09,-8.67,7.75,0.16
u10,-7.11,7.81,-0.06
u11,-5.94,7.92,-0.23
u12,-4.42,7.95,-0.44
u13,-3.07,7.96,-0.62
u14,-1.46,8.01,-0.84
u15,0.4,8.06,-1.1
u16,2,8.13,-1.33
u17,3.72,8.09,-1.56
u18,5.33,8.06,-1.78
u19,7.17,8.11,-2.03
u20,9.06,8.15,-2.29
u21,10.5,8.21,-2.49
u22,11.96,8.14,-2.68
u23,13.54,8.17,-2.89
u24,15.44,8.24,-3.15
u25,17.31,8.31,-3.41
u26,18.88,8.36,-3.62
u27,20.61,8.44,-3.85
u28,21.83,8.46,-4.03
u29,-20.17,6.93,1.77
u30,-18.9,6.85,1.62
u31,-17.35,6.85,1.41
u32,-16.04,6.92,1.23
u33,-14.49,6.86,1.02
u34,-12.93,6.88,0.81
u35,-11.37,6.88,0.6
u36,-9.99,6.86,0.41
u37,-8.45,6.85,0.2
u38,-7.02,6.9,0
u39,-5.8,6.92,-0.17
u40,-4.52,6.94,-0.34
u41,-3.01,6.92,-0.55
u42,-1.36,7,-0.78
u43,0.45,7.03,-1.03
u44,2.09,7,-1.25
u45,3.63,6.95,-1.46
u46,5.39,6.95,-1.7
u47,7.26,6.94,-1.95
u48,9.02,7.12,-2.2
u49,10.63,6.86,-2.4
u50,12.12,6.88,-2.61
u51,13.53,6.94,-2.8
u52,15.34,6.89,-3.04
u53,16.98,6.92,-3.26
u54,18.46,6.94,-3.46
u55,19.72,6.9,-3.62
u56,20.97,6.86,-3.8
notch01,13.36,-0.77,-2.23
notch02,19.33,-0.79,-3.06
