t[s],u01.dX [mm],u02.dX [mm],u03.dX [mm],u04.dX [mm],u05.dX [mm],u06.dX [mm],u07.dX [mm],u08.dX [mm],u09.dX [mm],u10.dX [mm],u11.dX [mm],u12.dX [mm],u13.dX [mm],u14.dX [mm],u15.dX [mm],u16.dX [mm],u17.dX [mm],u18.dX [mm],u19.dX [mm],u20.dX [mm],u21.dX [mm],u22.dX [mm],u23.dX [mm],u24.dX [mm],u25.dX [mm],u26.dX [mm],u27.dX [mm],u28.dX [mm],u29.dX [mm],u30.dX [mm],u31.dX [mm],u32.dX [mm],u33.dX [mm],u34.dX [mm],u35.dX [mm],u36.dX [mm],u37.dX [mm],u38.dX [mm],u39.dX [mm],u40.dX [mm],u41.dX [mm],u42.dX [mm],u43.dX [mm],u44.dX [mm],u45.dX [mm],u46.dX [mm],u47.dX [mm],u48.dX [mm],u49.dX [mm],u50.dX [mm],u51.dX [mm],u52.dX [mm],u53.dX [mm],u54.dX [mm],u55.dX [mm],u56.dX [mm],u01.dY [mm],u02.dY [mm],u03.dY [mm],u04.dY [mm],u05.dY [mm],u06.dY [mm],u07.dY [mm],u08.dY [mm],u09.dY [mm],u10.dY [mm],u11.dY [mm],u12.dY [mm],u13.dY [mm],u14.dY [mm],u15.dY [mm],u16.dY [mm],u17.dY [mm],u18.dY [mm],u19.dY [mm],u20.dY [mm],u21.dY [mm],u22.dY [mm],u23.dY [mm],u24.dY [mm],u25.dY [mm],u26.dY [mm],u27.dY [mm],u28.dY [mm],u29.dY [mm],u30.dY [mm],u31.dY [mm],u32.dY [mm],u33.dY [mm],u34.dY [mm],u35.dY [mm],u36.dY [mm],u37.dY [mm],u38.dY [mm],u39.dY [mm],u40.dY [mm],u41.dY [mm],u42.dY [mm],u43.dY [mm],u44.dY [mm],u45.dY [mm],u46.dY [mm],u47.dY [mm],u48.dY [mm],u49.dY [mm],u50.dY [mm],u51.dY [mm],u52.dY [mm],u53.dY [mm],u54.dY [mm],u55.dY [mm],u56.dY [mm],u01.dZ [mm],u02.dZ [mm],u03.dZ [mm],u04.dZ [mm],u05.dZ [mm],u06.dZ [mm],u07.dZ [mm],u08.dZ [mm],u09.dZ [mm],u10.dZ [mm],u11.dZ [mm],u12.dZ [mm],u13.dZ [mm],u14.dZ [mm],u15.dZ [mm],u16.dZ [mm],u17.dZ [mm],u18.dZ [mm],u19.dZ [mm],u20.dZ [mm],u21.dZ [mm],u22.dZ [mm],u23.dZ [mm],u24.dZ [mm],u25.dZ [mm],u26.dZ [mm],u27.dZ [mm],u28.dZ [mm],u29.dZ [mm],u30.dZ [mm],u31.dZ [mm],u32.dZ [mm],u33.dZ [mm],u34.dZ [mm],u35.dZ [mm],u36.dZ [mm],u37.dZ [mm],u38.dZ [mm],u39.dZ [mm],u40.dZ [mm],u41.dZ [mm],u42.dZ [mm],u43.dZ [mm],u44.dZ [mm],u45.dZ [mm],u46.dZ [mm],u47.dZ [mm],u48.dZ [mm],u49.dZ [mm],u50.dZ [mm],u51.dZ [mm],u52.dZ [mm],u53.dZ [mm],u54.dZ [mm],u55.dZ [mm],u56.dZ [mm]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.704786,-0.010252,-0.010434,-0.010643,-0.009783,-0.010289,-0.010335,-0.010098,-0.01023,-0.010474,-0.010423,-0.010189,-0.010262,-0.010705,-0.010028,-0.010436,-0.010149,-0.010291,-0.010164,-0.010384,-0.010504,-0.010309,-0.010386,-0.010717,-0.010313,-0.010153,-0.010744,-0.010335,-0.010573,-0.01006,-0.010453,-0.01026,-0.009704,-0.010649,-0.009998,-0.010234,-0.011003,-0.010189,-0.010271,-0.010496,-0.010232,-0.010612,-0.01045,-0.010765,-0.010326,-0.010279,-0.010464,-0.010722,-0.010569,-0.010659,-0.010478,-0.010576,-0.010886,-0.010863,-0.010618,-0.010109,-0.010333,-0.020314,-0.020021,-0.020302,-0.020747,-0.020333,-0.020866,-0.020653,-0.021054,-0.021365,-0.021066,-0.021139,-0.021307,-0.021148,-0.021267,-0.021865,-0.021564,-0.022147,-0.022377,-0.022421,-0.022544,-0.022572,-0.022138,-0.023065,-0.023426,-0.023562,-0.02336,-0.023173,-0.023579,-0.019798,-0.02106,-0.020152,-0.020915,-0.020701,-0.020928,-0.020814,-0.021379,-0.021275,-0.021415,-0.021531,-0.021276,-0.021405,-0.021927,-0.021596,-0.021871,-0.022622,-0.022323,-0.022711,-0.022239,-0.022809,-0.022814,-0.022563,-0.023007,-0.022763,-0.023332,-0.023249,-0.023084,-0.010647,-0.010787,-0.008973,-0.008606,-0.008353,-0.008203,-0.008509,-0.007851,-0.007071,-0.007301,-0.008896,-0.008959,-0.008949,-0.00874,-0.008517,-0.007332,-0.005977,-0.007823,-0.009248,-0.007755,-0.006186,-0.00797,-0.00726,-0.009061,-0.007442,-0.007473,-0.008783,-0.008486,-0.011502,-0.011929,-0.007206,-0.011545,-0.008734,-0.008628,-0.007828,-0.010165,-0.006457,-0.007965,-0.008041,-0.008443,-0.005618,-0.009353,-0.004965,-0.008526,-0.008348,-0.007743,-0.008667,-0.008226,-0.008421,-0.006831,-0.008461,-0.007921,-0.006116,-0.006664,-0.008662,-0.007333
144.954786,-0.007355,-0.007574,-0.007229,-0.007035,-0.007285,-0.007213,-0.007267,-0.00711,-0.007599,-0.00759,-0.007246,-0.007342,-0.007599,-0.007437,-0.007311,-0.007272,-0.007296,-0.007221,-0.007262,-0.007758,-0.007272,-0.00735,-0.007477,-0.007253,-0.007454,-0.007601,-0.007479,-0.007534,-0.007121,-0.007555,-0.007255,-0.006852,-0.007117,-0.007176,-0.007122,-0.007646,-0.007396,-0.007507,-0.007353,-0.007345,-0.007631,-0.007436,-0.007732,-0.0072,-0.007071,-0.007085,-0.007412,-0.00753,-0.007747,-0.007555,-0.007339,-0.007669,-0.007771,-0.007659,-0.007383,-0.007431,-0.041951,-0.041995,-0.041706,-0.042309,-0.042358,-0.042611,-0.042513,-0.042745,-0.042997,-0.043086,-0.0429,-0.043189,-0.043169,-0.043151,-0.043209,-0.043736,-0.04378,-0.043809,-0.043858,-0.044285,-0.044293,-0.044347,-0.044559,-0.045193,-0.044884,-0.044869,-0.045209,-0.044954,-0.041756,-0.042349,-0.041912,-0.042101,-0.042813,-0.042771,-0.042581,-0.042969,-0.042865,-0.043106,-0.043073,-0.043023,-0.043142,-0.043147,-0.043504,-0.043551,-0.043654,-0.043943,-0.043741,-0.043715,-0.044346,-0.044423,-0.044555,-0.044593,-0.044732,-0.044962,-0.044824,-0.04506,-0.013362,-0.012943,-0.012608,-0.011618,-0.013186,-0.011669,-0.011322,-0.011819,-0.011823,-0.012031,-0.011629,-0.011334,-0.010454,-0.01327,-0.011307,-0.009738,-0.010111,-0.011754,-0.011501,-0.010539,-0.010978,-0.01103,-0.010767,-0.011932,-0.010699,-0.011627,-0.011815,-0.010645,-0.013452,-0.013018,-0.013063,-0.013594,-0.013249,-0.011585,-0.011092,-0.013967,-0.011414,-0.010982,-0.01163,-0.012274,-0.011501,-0.012205,-0.011159,-0.010316,-0.012161,-0.010954,-0.011778,-0.011993,-0.010922,-0.010981,-0.011244,-0.010867,-0.011778,-0.010264,-0.011783,-0.012261
145.204786,-0.044043,-0.044306,-0.043934,-0.043566,-0.044109,-0.043723,-0.043975,-0.043928,-0.044033,-0.04415,-0.043828,-0.044141,-0.044453,-0.044044,-0.044115,-0.043931,-0.044114,-0.04411,-0.044151,-0.044264,-0.044171,-0.044307,-0.044328,-0.044035,-0.044188,-0.044592,-0.044214,-0.044286,-0.044081,-0.044166,-0.04415,-0.043895,-0.044284,-0.04415,-0.044113,-0.044626,-0.044262,-0.044066,-0.044403,-0.044398,-0.044728,-0.044541,-0.044319,-0.044594,-0.044516,-0.044336,-0.045104,-0.044488,-0.044927,-0.04487,-0.044695,-0.045059,-0.04477,-0.044967,-0.044947,-0.045177,-0.032076,-0.032269,-0.032578,-0.033598,-0.033834,-0.034903,-0.0354,-0.036171,-0.037203,-0.037436,-0.038268,-0.038757,-0.038988,-0.039544,-0.041119,-0.041488,-0.042553,-0.04313,-0.04408,-0.04507,-0.045469,-0.046085,-0.047112,-0.047819,-0.048576,-0.049057,-0.050138,-0.0505,-0.031251,-0.032465,-0.032543,-0.033619,-0.034323,-0.034834,-0.035679,-0.03661,-0.03701,-0.037502,-0.03847,-0.038513,-0.039373,-0.039712,-0.041014,-0.041433,-0.042443,-0.043046,-0.043926,-0.044919,-0.045337,-0.046327,-0.046875,-0.047644,-0.048253,-0.048908,-0.049324,-0.049815,-0.015274,-0.015343,-0.015327,-0.015285,-0.014146,-0.014385,-0.013314,-0.015567,-0.015082,-0.015145,-0.015582,-0.016259,-0.015693,-0.016288,-0.015739,-0.017411,-0.016551,-0.01636,-0.016796,-0.016794,-0.016792,-0.016687,-0.017446,-0.017511,-0.017688,-0.018299,-0.018506,-0.020143,-0.013755,-0.016108,-0.015602,-0.016879,-0.01583,-0.015167,-0.014641,-0.016632,-0.014176,-0.015663,-0.015461,-0.016311,-0.014659,-0.01643,-0.017334,-0.01555,-0.016172,-0.016383,-0.016155,-0.016559,-0.015967,-0.017599,-0.018095,-0.017544,-0.018097,-0.018044,-0.018549,-0.018802
145.454786,-0.068302,-0.068637,-0.068489,-0.068449,-0.068538,-0.068633,-0.068579,-0.068484,-0.068762,-0.069183,-0.068359,-0.068652,-0.069154,-0.068661,-0.068775,-0.068588,-0.068776,-0.069286,-0.068814,-0.069341,-0.069063,-0.068737,-0.069223,-0.069104,-0.068642,-0.069152,-0.069373,-0.069117,-0.068918,-0.069307,-0.068658,-0.068672,-0.069465,-0.068842,-0.069205,-0.06969,-0.069056,-0.069311,-0.069156,-0.068917,-0.069784,-0.069342,-0.069513,-0.069135,-0.069455,-0.06968,-0.069857,-0.069564,-0.070078,-0.069706,-0.069898,-0.070178,-0.070119,-0.070415,-0.070089,-0.069491,-0.022221,-0.022718,-0.024235,-0.025166,-0.025952,-0.027315,-0.028126,-0.028851,-0.030391,-0.03117,-0.031443,-0.032858,-0.033115,-0.034535,-0.036011,-0.037358,-0.038569,-0.039209,-0.04094,-0.041788,-0.042925,-0.043924,-0.045363,-0.046933,-0.04801,-0.04872,-0.049932,-0.050809,-0.021546,-0.023091,-0.024021,-0.025518,-0.026015,-0.027418,-0.028119,-0.029366,-0.030466,-0.031131,-0.031901,-0.032438,-0.033575,-0.034975,-0.035785,-0.037016,-0.038471,-0.039687,-0.040743,-0.041725,-0.043065,-0.044428,-0.045109,-0.046626,-0.047426,-0.048963,-0.049528,-0.050089,-0.008323,-0.009603,-0.010044,-0.00827,-0.008883,-0.009985,-0.007355,-0.008466,-0.009671,-0.009574,-0.012425,-0.011241,-0.009191,-0.013474,-0.013047,-0.009834,-0.011556,-0.01039,-0.013532,-0.011992,-0.013973,-0.014143,-0.012437,-0.013219,-0.014856,-0.01353,-0.013177,-0.013466,-0.008887,-0.008524,-0.008588,-0.008414,-0.009555,-0.009652,-0.006995,-0.011347,-0.00891,-0.01043,-0.00976,-0.012455,-0.009443,-0.012627,-0.010567,-0.01173,-0.012824,-0.013062,-0.011225,-0.013087,-0.013804,-0.013428,-0.012982,-0.01391,-0.013194,-0.01185,-0.014357,-0.015381
145.704786,-0.076186,-0.076681,-0.07666,-0.076277,-0.076679,-0.076501,-0.077081,-0.076705,-0.077001,-0.077062,-0.076463,-0.076752,-0.07717,-0.077094,-0.077244,-0.076658,-0.077235,-0.077504,-0.077416,-0.077505,-0.077201,-0.077509,-0.07761,-0.077551,-0.077752,-0.077857,-0.07775,-0.077433,-0.077021,-0.07675,-0.077006,-0.076815,-0.077572,-0.077298,-0.077591,-0.077767,-0.077587,-0.077565,-0.077689,-0.077761,-0.07738,-0.077406,-0.077436,-0.077847,-0.077777,-0.078184,-0.078451,-0.078234,-0.078437,-0.078552,-0.078729,-0.079216,-0.07874,-0.079031,-0.078827,-0.078701,-0.040127,-0.040589,-0.041867,-0.043284,-0.044212,-0.045445,-0.046328,-0.047478,-0.04872,-0.049783,-0.050389,-0.051671,-0.052409,-0.053616,-0.055518,-0.056943,-0.058606,-0.059127,-0.06097,-0.062029,-0.06293,-0.064153,-0.065729,-0.067124,-0.068957,-0.069597,-0.070669,-0.071424,-0.039765,-0.041236,-0.041566,-0.043643,-0.044217,-0.045343,-0.046595,-0.047807,-0.048865,-0.049881,-0.050971,-0.051836,-0.052712,-0.054257,-0.055461,-0.057014,-0.058319,-0.059416,-0.061356,-0.061972,-0.063939,-0.064573,-0.065367,-0.066992,-0.068132,-0.069286,-0.070554,-0.07082,-0.023379,-0.023846,-0.023669,-0.023179,-0.02321,-0.024282,-0.023943,-0.025322,-0.026543,-0.02632,-0.028819,-0.028198,-0.024611,-0.028072,-0.029469,-0.029151,-0.027542,-0.02676,-0.030453,-0.029774,-0.029286,-0.029933,-0.030439,-0.030831,-0.032135,-0.032749,-0.031197,-0.032976,-0.021284,-0.021901,-0.022463,-0.023937,-0.023632,-0.02463,-0.02274,-0.024694,-0.025642,-0.027151,-0.026155,-0.028921,-0.02642,-0.028576,-0.027905,-0.028897,-0.029993,-0.029966,-0.028053,-0.030554,-0.030691,-0.029787,-0.031764,-0.030996,-0.030925,-0.030236,-0.032403,-0.036092
145.954786,-0.087574,-0.088119,-0.087662,-0.087765,-0.088014,-0.087897,-0.087979,-0.087822,-0.088044,-0.088251,-0.088016,-0.088113,-0.088516,-0.088205,-0.088152,-0.087972,-0.087998,-0.088573,-0.088654,-0.088565,-0.088283,-0.089071,-0.08895,-0.088824,-0.089096,-0.088946,-0.089236,-0.089027,-0.088212,-0.088527,-0.08856,-0.088251,-0.088824,-0.088537,-0.088726,-0.089512,-0.089115,-0.088597,-0.089046,-0.088819,-0.088886,-0.08868,-0.088891,-0.089439,-0.088996,-0.089453,-0.090058,-0.089382,-0.090026,-0.08964,-0.089922,-0.090506,-0.090253,-0.090368,-0.090239,-0.090396,-0.044045,-0.045555,-0.047212,-0.048873,-0.049812,-0.050965,-0.052109,-0.053429,-0.054805,-0.055966,-0.056713,-0.058018,-0.058814,-0.059995,-0.062302,-0.063607,-0.065331,-0.066685,-0.06832,-0.069812,-0.070807,-0.072143,-0.07375,-0.075538,-0.077028,-0.077967,-0.079975,-0.080462,-0.044386,-0.045788,-0.047358,-0.048695,-0.050024,-0.050617,-0.052458,-0.05364,-0.054911,-0.056235,-0.057461,-0.0585,-0.059253,-0.061007,-0.062207,-0.063863,-0.065413,-0.066767,-0.068684,-0.06938,-0.07109,-0.07241,-0.073072,-0.07523,-0.076532,-0.077647,-0.078699,-0.080292,-0.037659,-0.035795,-0.037004,-0.036107,-0.035619,-0.036606,-0.036579,-0.037904,-0.038254,-0.037602,-0.039647,-0.041385,-0.03899,-0.041089,-0.041794,-0.042461,-0.041079,-0.041102,-0.043972,-0.044023,-0.044678,-0.043449,-0.044579,-0.045241,-0.046554,-0.046942,-0.048893,-0.048878,-0.034761,-0.036553,-0.037165,-0.03706,-0.038141,-0.036007,-0.037319,-0.038589,-0.037735,-0.03917,-0.039094,-0.040157,-0.038628,-0.040921,-0.040765,-0.041944,-0.042598,-0.043971,-0.04302,-0.044093,-0.043663,-0.044489,-0.045893,-0.045286,-0.046247,-0.0466,-0.048301,-0.048381
146.204786,-0.095584,-0.095999,-0.095864,-0.095911,-0.096072,-0.095762,-0.096326,-0.095685,-0.096608,-0.096476,-0.096232,-0.096207,-0.096558,-0.096436,-0.096597,-0.095883,-0.096188,-0.096584,-0.096847,-0.096778,-0.096445,-0.096986,-0.096988,-0.096881,-0.097031,-0.097181,-0.097291,-0.097003,-0.096281,-0.096276,-0.09683,-0.096253,-0.096907,-0.096664,-0.096718,-0.09743,-0.097115,-0.096888,-0.097159,-0.09717,-0.097245,-0.097261,-0.09708,-0.097613,-0.097181,-0.09752,-0.097858,-0.097376,-0.098199,-0.097844,-0.098056,-0.098636,-0.098338,-0.098204,-0.098186,-0.098795,-0.040455,-0.042101,-0.043369,-0.045219,-0.046463,-0.047683,-0.04921,-0.050748,-0.052134,-0.053457,-0.05424,-0.055827,-0.056687,-0.058094,-0.060578,-0.061727,-0.063699,-0.065066,-0.066379,-0.068273,-0.069547,-0.070459,-0.072453,-0.074462,-0.076201,-0.077194,-0.078949,-0.079927,-0.040285,-0.042527,-0.043726,-0.045041,-0.046521,-0.048092,-0.049189,-0.051205,-0.052018,-0.053862,-0.05517,-0.055895,-0.056756,-0.059015,-0.060274,-0.062031,-0.063485,-0.064889,-0.066952,-0.067989,-0.069536,-0.070959,-0.072093,-0.07399,-0.075577,-0.076885,-0.077626,-0.079327,-0.032154,-0.032752,-0.03178,-0.031459,-0.032972,-0.032109,-0.032908,-0.033646,-0.033487,-0.034484,-0.036473,-0.035507,-0.035886,-0.037562,-0.037532,-0.038151,-0.037875,-0.037848,-0.039864,-0.04097,-0.040533,-0.040989,-0.041595,-0.042469,-0.04227,-0.044045,-0.044295,-0.046145,-0.032038,-0.032755,-0.03243,-0.032354,-0.033277,-0.032771,-0.032661,-0.035582,-0.034431,-0.034106,-0.035408,-0.036166,-0.035221,-0.036759,-0.037523,-0.037345,-0.038286,-0.039071,-0.039368,-0.041275,-0.041673,-0.04069,-0.042423,-0.042054,-0.042135,-0.043461,-0.045029,-0.043066
146.454786,-0.105021,-0.105224,-0.10503,-0.105267,-0.105248,-0.105445,-0.1054,-0.105263,-0.105518,-0.105894,-0.105516,-0.105263,-0.105984,-0.105176,-0.10568,-0.105323,-0.105341,-0.105691,-0.105839,-0.106151,-0.105928,-0.105792,-0.106208,-0.106002,-0.105987,-0.106455,-0.105981,-0.106053,-0.105672,-0.105804,-0.105631,-0.105444,-0.106092,-0.106071,-0.105892,-0.10633,-0.105862,-0.106235,-0.106007,-0.106017,-0.106944,-0.10643,-0.1064,-0.106443,-0.106344,-0.106706,-0.107166,-0.106802,-0.107353,-0.107011,-0.1069,-0.107493,-0.107546,-0.107642,-0.107597,-0.107903,-0.055338,-0.057025,-0.058856,-0.060548,-0.061973,-0.063341,-0.0648,-0.066246,-0.068336,-0.069055,-0.069953,-0.07171,-0.072705,-0.074448,-0.076815,-0.077866,-0.079925,-0.081565,-0.083388,-0.085135,-0.086746,-0.087904,-0.089765,-0.092217,-0.093579,-0.094798,-0.096686,-0.098003,-0.05588,-0.058085,-0.058993,-0.060938,-0.062186,-0.063668,-0.06496,-0.066563,-0.06778,-0.069454,-0.07045,-0.071392,-0.073198,-0.075026,-0.076467,-0.077864,-0.079924,-0.081657,-0.083201,-0.084856,-0.086606,-0.088498,-0.089769,-0.091639,-0.093099,-0.094663,-0.095691,-0.097161,-0.045952,-0.044249,-0.044572,-0.046348,-0.045425,-0.04612,-0.046198,-0.046495,-0.046299,-0.048498,-0.050461,-0.04943,-0.049615,-0.050667,-0.050493,-0.049664,-0.051906,-0.050825,-0.052267,-0.052039,-0.053723,-0.054107,-0.053866,-0.054933,-0.055244,-0.056703,-0.056576,-0.05775,-0.045334,-0.044255,-0.042489,-0.045853,-0.046159,-0.045647,-0.046469,-0.049439,-0.046685,-0.048232,-0.049131,-0.050208,-0.047452,-0.050017,-0.050286,-0.050479,-0.051498,-0.052972,-0.052208,-0.05352,-0.054403,-0.054373,-0.055005,-0.055823,-0.056095,-0.05534,-0.05627,-0.055139
146.704786,-0.117055,-0.118105,-0.117444,-0.11728,-0.117671,-0.117561,-0.11781,-0.117781,-0.117898,-0.11808,-0.117308,-0.117856,-0.118244,-0.117705,-0.117783,-0.117746,-0.117874,-0.118043,-0.118024,-0.118452,-0.11816,-0.117965,-0.1182,-0.118019,-0.118016,-0.118435,-0.118276,-0.118423,-0.117943,-0.118334,-0.117945,-0.118045,-0.118681,-0.118282,-0.118759,-0.118953,-0.118466,-0.119002,-0.118879,-0.118517,-0.118917,-0.118593,-0.118994,-0.118889,-0.119276,-0.119187,-0.119668,-0.119402,-0.119815,-0.119659,-0.119767,-0.119931,-0.119894,-0.120118,-0.119674,-0.119598,-0.055367,-0.056723,-0.058867,-0.060787,-0.061637,-0.063435,-0.065128,-0.066459,-0.068614,-0.069814,-0.070819,-0.072403,-0.073646,-0.075646,-0.077824,-0.079426,-0.081773,-0.083186,-0.085603,-0.087111,-0.088815,-0.090445,-0.092317,-0.094417,-0.09664,-0.098046,-0.100188,-0.101368,-0.056136,-0.057774,-0.058335,-0.060979,-0.061924,-0.063982,-0.064941,-0.066835,-0.068534,-0.070146,-0.071304,-0.072379,-0.073907,-0.076172,-0.077406,-0.079733,-0.081658,-0.083462,-0.085628,-0.087198,-0.089111,-0.09113,-0.092424,-0.094628,-0.096038,-0.097996,-0.099123,-0.100343,-0.056692,-0.056138,-0.05491,-0.055817,-0.055492,-0.056998,-0.056288,-0.05767,-0.057036,-0.057701,-0.059333,-0.05961,-0.058482,-0.06067,-0.060388,-0.060047,-0.061612,-0.060914,-0.062882,-0.061431,-0.062087,-0.063728,-0.062906,-0.064498,-0.065083,-0.064782,-0.064406,-0.067043,-0.056209,-0.054343,-0.053851,-0.056543,-0.05531,-0.057777,-0.054699,-0.058801,-0.056125,-0.057802,-0.057788,-0.061205,-0.056852,-0.060126,-0.058934,-0.061776,-0.063126,-0.063472,-0.06068,-0.063552,-0.063289,-0.064207,-0.063925,-0.065339,-0.064939,-0.064846,-0.067358,-0.069037
